cancer有啲都有得医嘅	有些癌症还是可以治的
佢咩情况呀而家？	他现在什么情况？
佢咩料呀？	他什么来头？
佢咳到好交关，变咗豆沙喉咯	他咳得很厉害，成了沙嗓子了
佢哋一个讲英文，一个讲日文，简直系鸡同鸭讲	他们一个说英语，一个日语，简直说不通
佢哋一早就为自己开咗太平门，申请移民外国	他们早就给自己准备后路了，申请移民外国
佢哋两个又好翻咯	他们两个又和好了
佢哋仔乸几好吖嘛？	他们母子挺好吧？
佢哋以前有仇口	他们过去有积怨
佢哋以前有仇口	他们过去有积怨
佢哋系公众人物，系无乜私隐㗎喇	他们人人都认识，没有什么隐私可言
佢哋系孖女嚟㗎	她们是孪生姐妹
佢哋系我嘅死党	他们是我的好朋友
佢哋俩有过节，见到面都唔睬	他俩有过嫌隙，见了面也互不理睬
佢哋个个都系百厌星	他们全都是淘气包
佢哋个个都唔肯去，我唯有顶硬上啦	他们谁都不愿意干，我只有硬着头皮干下去
佢哋做得成夫妻都系全靠我呢把大葵扇咋	他们能结为夫妻全靠我做的媒
佢哋倾密偈我就行开，我好熟性嘅	他们谈心我就躲开，我很通情达理的
佢哋入咗公司咁多年，而家仲系散仔一名	他们来公司干了这么多年，到现在还是打杂的
佢哋全部都系义工	他们全都是义务工作者
佢哋两个人唔啱牙，倾唔埋	他们两个人合不来，谈不拢
佢哋两个人孖铺	他们两个人挤一张床
佢哋两个个样好似	他俩样子很相像
佢哋两个好到真系糖黐豆	他们俩要好得真是粘一块儿了
佢哋两个好行得埋	他们俩很合得来
佢哋两个早就散咗嘞	他们两个早就分手了
佢哋两个都系蒲精，成日落酒吧饮酒食烟沟女	他们两个都很贪玩，总是去酒吧喝酒抽烟泡妞
佢哋两兄弟成个饼印噉	他们兄弟俩长得一模一样
佢哋分咗手，佢张相无谓摆出嚟笃眼笃鼻啦	他们已经分手了，他的照片就别摆出来碍眼啦
佢哋到而家都仲系好老死	他们到现在也还是非常要好的朋友
佢哋到西贡医肚	他们去西贡填填肚子
佢哋去九龙城叹日本嘢	他们去九龙城享用日本菜
佢哋吹咗都似	他俩的事很可能吹了
佢哋呢啤真系好衬	他们这一对儿真是挺般配的
佢哋咁迟至嚟，乜都假啦	他们那么晚才来，白搭了
佢哋唱起上嚟好好听	他们刚刚开始唱很好听
佢哋啲嘢贵咗啲	他们的东西贵了一点
佢哋喺出便嘈喧巴闭，令到我想睇书都睇唔落去	他们在外面吵吵闹闹的，使得我想看书都看不下去
佢哋喺度密斟，边个都唔入得去	他们正在密谈，谁也进不去
佢哋喺度赖死，个个都冇晒佢哋办法	他们在这儿赖着不走，人人都拿他没办法
佢哋嗰度有好靓嘅海鲜	他们那儿有很不错的海鲜
佢哋嚟广州学粤语	他们来广州学粤语
佢哋因为通水被取消考试资格	他们因串谋作弊而被取消考试资格
佢哋好到鬼噉	他们好极了
佢哋居然敢违反合约，噉仲得掂！	他们居然敢违背合约，这还了得！
佢哋几个晚黑到处蒲，唔蒲唔安乐，而且吓吓蒲通宵	他们几个晚上到处去玩，不玩就不痛快，而且每次也要玩个通宵
佢哋打牌夹埋呃人钱，而家又有条水鱼上当嘞	他们打麻将时串通起来骗钱，现在又有一个傻冒有钱佬上当啦
佢哋拍拖，我哋无谓做电灯胆啦	他俩在谈恋爱，我们别在这儿不识趣
佢哋支球队好奀嘅嗻，你唔使惊佢	他们那支球队很差的，你不用怕他
佢哋最钟意听男歌星唱冧歌	她们最喜欢听那些男歌星唱深情的流行歌曲
佢哋会喺度住一阵	他们会在这里住一会儿
佢哋根本未见过大蛇屙尿	他们根本没见过世面
佢哋正话行紧	他们正处在谈恋爱阶段
佢哋死梗啦	他们死定了
佢哋游水斗游得远	他们游泳比游得远
佢哋为小小事就嗌起上嚟	他们为了一点儿小事就吵起来
佢哋畀人㗾得真惨	他们被人家喝倒采弄得真狼狈
佢哋畀人劏咗二百文	他们被人勒索了二百元
佢哋畀人劏咗二百蚊	他们被人勒索了二百元
佢哋畀人打到一仆一碌	他们让人家打得跌跌撞撞，满地打滚的
佢哋当然冇啦，等佢哋开吓眼界啦	他们当然没有，让他们开开眼界吧
佢哋结成婚系我揸大葵扇	他们今天能结婚，还是我作的媒呢
佢哋自己去呀？噉实荡失路啦！	他们自己去啊？这样一定会迷路的！
佢哋要畀好多钱个蛇头	他们要给很多钱那个偷渡集团的头儿
佢哋讲话结婚㗎喇	他们在谈结婚的事了
佢哋走咗啦？	他们都走了吗？
佢哋都系我哋嘅米饭班主，唔得罪得㗎！	他们都是我们的衣食父母，得罪不起呀！
佢哋错晒啦	他们都错了
佢哋虽然意见唔同，但都系志在搅好工作	他们虽然意见不同，但都是为了搞好工作
佢哋顾住打牙骹，唔做嘢	他们只顾着闲聊，不干活儿
佢响屋企左近放狗	他在家里附近遛狗
佢响屋企搅搅震，我要翻去睇吓	他在家里胡混，我要回去看看
佢响工厂打工	他在工厂做工
佢响度口水花喷喷，其实冇人听佢	他在那儿唾沫横飞，其实没人听他
佢唔中意乜滞	他不怎么喜欢
佢唔交租你都冇符	他不交租你也没辙儿
佢唔系冇钱，不过责死晒	他不是没钱，不过全都不能动用
佢唔系噉嘅意思，佢净系担心你啫	他不是这个意思，他只是担心你而已
佢唔系几识陈太㗎	他不怎么认识陈太太
佢唔系几钟意呢件衫	他不太喜欢这件衣服
佢唔系谂住孭上身呀？	他不会是想自己负上责任吧？
佢唔公开道歉，乜都假	他不公开道歉，坚决不答应！
佢唔制	他不愿意
佢唔同意，乜都假啦！	他不同意，有什么办法！
佢唔嚟好地地，佢一嚟就硬晒舦嘞	他不来好好的，他一来就全黄了
佢唔小心撞甩骹	他不小心碰脱臼了
佢唔想一世都打工	他不想一辈子都是为老板工作
佢唔想畀你知	他不想让你知道
佢唔想讲就无谓督爆佢啦	他不想说就别揭穿他了
佢唔想讲我咪唔逼佢啰	他不想说我就没强迫他了
佢唔敢开声	他不敢吭声
佢唔会介意	他不会介意
佢唔会同乜嘢人有仇口嘅	他不会同甚么人有冤仇
佢唔会唔嚟啩	他不会不来吧
佢唔理你，你吹胀佢呀？	他不理你，你能奈他何吗？
佢唔理我乜滞	他不太爱搭理我
佢唔眼瞓，唔好焗佢瞓	他不困，就别逼他睡觉
佢唔知实力同人哋争咁多，整定佢输嘅	他不知道实力比人家差那么多，注定他要输
佢唔知几多林沉嘢	不知他有多少不三不四的事
佢唔知我翻嚟嘅	他不知道我回来的
佢唔算细胆	他不算胆小
佢唔算腌尖	他不算挑剔了
佢唔肯去我都冇计㗎	他不肯去我也没办法
佢唔觉意写错咗个答案	他不小心写错了答案
佢唔记得带嚟都有之㗎	他忘了带来也是可能的
佢唔识日文	他不懂日语
佢唔识贪女仔㗎啦	他不会哄女孩子
佢唔输蚀过人㗎	他一点也不比人差
佢唔道歉，我实唔睬佢嗝	他不道歉，我肯定不理他的
佢唔钟意同我住咯，我咪执包袱走啰	他不喜欢跟我住在一起了，我大不了收拾铺盖离开
佢唔食杂	他不吃荤
佢唔黐家嘅，放工实唔会即刻翻屋企	她不恋家的，下了班肯定不会马上回家
佢唔黐家嘅，放工实唔会即刻返屋企	她不恋家的，下了班肯定不会马上回家
佢唱多几多只歌，啲歌迷都系唔够喉	他再多唱多少首歌，那些歌迷也还是不满足
佢唱得真劲	他唱得真棒
佢啱先仲喺度	他刚才还在这里
佢啱啱出咗去	他刚刚出去了
佢啱啱执咗个女	她刚刚生了一个女孩
佢啱啱病好，仲好瘦削	他刚刚病好，还很瘦弱
佢啱啱翻咗香港	他刚刚回了香港
佢啱啱臊咗一个仔	她刚生了一个男孩
佢啱啱行过，条桩就揜落嚟，当衰系啦	他刚走过，桩子就倒下来，该倒霉就是了
佢啱好咗两日就心思思想去上班	他病刚好了两天，就惦着上班去了
佢啱好咗两日就心思思想去翻工	他病刚好了两天，就惦着上班去了
佢啲半咸淡普通话笑到人哋肚赤	他那南腔北调的普通话把人家的肚子都笑疼了
佢啲嘢畀人讲晒出嚟，当时佢真系想揾窿捐	他的事让人全都说了出来，当时他恨不得找个地方藏起来
佢啲手工好曳㗎咋	他的手艺很差
佢啲头发生得密质质噉	他的头发长得密密麻麻的
佢啲头发飞得好岩巉	他的头发理得参差不齐
佢喉咙痛，热气都唔定	他嗓子疼，说不定是上火了
佢喊得好凄凉	他哭得很悲哀
佢喊亲就畀糖食㖞，习惯晒！	她一哭就给糖果吃，养成了坏习惯！
佢喐亲就睇医生食药	他动不动就去看病吃药
佢喐亲就睇医生食药	他动不动就去看病吃药
佢喐亲就闹人	他动不动就骂人
佢单眼穿针都得	他闭起一只眼都能穿针引线
佢单起只眼	他闭起一只眼
佢喺一间出入口公司做文员	他在一家进出口公司做职员
佢喺出便等你	他在外面等你
佢喺地盘做管工	他在工地做管工
佢喺外国浸咗咁耐，英文一定讲得好好	他在外国泡了这么久，英语一定说得很好
佢喺外地工作嗰阵，成日顾住屋企	他在外地工作的时候，整天挂念着家里
佢喺学校好乖，喺屋企就成日扭计	他在学校挺乖的，在家里就成天闹别扭
佢喺度做都系骑牛揾马㗎啫	他在这里也都是骑驴找马
佢喺度无理取闹，大家都费事睬佢	他在这儿无理取闹，大家都懒得理他
佢喺广州工作，家眷喺韶关，经常上落	他在广州工作，家属在韶关，经常来往于两地
佢喺律师行做师爷	他在律师行当律师的副手
佢喺情信写埋啲嘢好核突	他在情信上写的东西真肉麻
佢喺我老板面前督我背脊，话我工作时间蛇王	他在我老板面前打小报告，说我工作时间偷懒
佢喺房度成日放住啲音乐	他在房间里总是放着音乐
佢喺演唱会度唱好多劲歌，啲歌迷个个都好high	他在演唱会里唱很多节奏强劲的歌，歌迷们都极度兴奋
佢喺生暴人面前好扤失嘅	他在陌生人面前很拘谨
佢喺生疏人面前好扤失嘅	他在圣人面前很拘谨
佢喺街市畀人扒咗个银包	她在菜市场被人偷了钱包
佢喺里便	他在里面
佢喺记者招待会上爆料	他在记者招待会上把情况都说出来
佢喺办公室行行企企，乜嘢都唔做	他在办公室里这儿走走，那儿站站，甚么活儿都不干
佢嗌亚黄去	他喊阿黄去
佢嗍咗一啖烟	他吸了一口烟
佢嗰年卖猪仔去咗南洋	他那年被卖到南洋做苦工去了
佢嗰手认真使得	他那一手确实了不起
佢嘅仔娶老婆真系大阵仗啰	他的儿子结婚真是排场大
佢嘅仔考到第一名㖞	他的儿子考了个第一名呢
佢嘅作风咁鬼马，好人都有限嘞	他的作风这样不正派，多半不是好人
佢嘅作风咁鬼马，好人都有限嘞	他的作风这样不正经，多半不是好人
佢嘅作风太浮	他的作风太轻浮
佢嘅作风零舍唔同	他的作风分外不同
佢嘅刀法认真犀利	他的刀功的确厉害
佢嘅字写得好四正	他的字写得很端正
佢嘅字真系靓到极喇	他的字真是漂亮极了
佢嘅成绩唔曳	他的成绩不差
佢嘅成绩麻麻哋啦，唔算好	他的成绩勉强过得去，不算好
佢嘅手艺冇得顶	他的工艺没人比得过他
佢嘅手骨好硬	他的后台很硬
佢嘅文章写得好通掂	他的文章写得很通顺
佢嘅演讲好感人，台下个个都听到眼湿湿	他的演讲十分感人，台下的人听得眼泪汪汪的
佢嘅球技真系冇得顶	他的球技真是顶呱呱
佢嘅病好噉啲咯	他的病好一些了
佢嘅病，一时时啦	他的病，时好时坏
佢嘅发言空空洞洞，简直唔挐耕	他的发言空空洞洞，简直不着边际
佢嘅真面目卒之畀人识穿晒	他的真面目终于被识破了
佢嘅老窦亦即系我嘅舅父	他的父亲也就是我的舅舅
佢嘅声喉真大	他的嗓门真大
佢嘅脾气就系咁古缩，唔钟意讲话乜滞	他的脾气就是那么蔫儿，不怎么喜欢说话
佢嘅英文好使得	他的英文很棒
佢嘅身家就系呢几个杠喇	他的全部家当就是这几个箱子
佢嘅身体好实净	他的身体很结实
佢嘅医术好巴闭㗎	他的医术很了不起
佢嘅头发飞得咁巖巉	他的头发理得那么参差不齐
佢嘅头发飞成一个撠一个撠噉	他的头发理得一坎一坎的
佢喽我去睇电影	他约我去看电影
佢喽我买咗嗰部单车	他劝我买那辆自行车
佢噅我借钱畀佢	他求我借钱给他
佢噉做实冇错㗎喇	他这么做肯定没错
佢噉嘅行为，真系犯众憎	他这样的行为，人人憎恨
佢噉样会自在啲	他这样会舒服点儿
佢噉都做得，真掯	他这样也能干，真有本事
佢吓到标汗	他吓得直冒汗
佢吓亲你呀？	他使你受惊了？
佢嚟咗	他来了
佢嚟喇	他来了
佢嚟喇！	他来了！
佢嚟嘅	他一定来的
佢嚟我度倾偈	他来我这里聊天
佢嚟紧㗎啦	他快来了
佢嚟过，不过我唔觉眼	他来过，不过我没注意
佢地去咗踢波	他们去了踢足球
佢地结成婚系我揸大葵扇	他们今天能结婚，还是我作的媒呢
佢坐到挜开晒对脚，真难睇	他叉着腿坐，真难看
佢坐喺入便	他坐在里头
佢坐喺埋便	他坐在里边
佢坐喺我隔篱	他坐在我旁边
佢够晒时唛㗎喇	他够时髦的
佢大佬好大只	他哥哥块头很大
佢大力到只牛噉	他力气大得像牛似的
佢大咗肚要生啤啤	她就快要生宝宝了
佢大过我	他比我大
佢太太攞埋鸡汤嚟片场探班	他太太带上鸡汤来电影拍摄场探望他
佢太矮，一起脚都睇唔见	他个子太矮，踮起脚也看不见
佢失咗踪	他失踪了
佢失败咗就趯更	他失败了就逃命
佢失业成年都揾唔到嘢做	他失业一年还找不到活儿干
佢失惊无神喺台上宣布同男友甩拖	她冷不防在台上宣布与男友分手
佢夹埋个妹嚟呃亚妈	他连同妹妹一起哄骗妈妈
佢夹硬抢咗我三粒糖	他硬的抢了我三粒糖
佢好似一嚿饭噉，乜都唔会做	他像个饭桶似的，什么都不会干
佢好似有病噉	他像有病似的
佢好似未瞓醒噉	他好像还没有睡醒似的
佢好似话过佢唔嚟得	他好像说过他来不了
佢好倾得	他很健谈
佢好冇手尾	他很不爱做善后
佢好冇耳性㗎，讲几多次都唔记得	他真没记性，说多少遍都不记得
佢好冇记性嘅	他很健忘
佢好厉害，我点打都埋唔到佢身	他好厉害，我怎么打都靠近不了他
佢好喉急，一阵间就想学会	他很心急，一下子就想学会
佢好多嗲，讲咗成个钟头都未完	他长篇大论的，讲了个把钟头都还没完
佢好大使	他很爱花钱
佢好大力捻我个面	他使劲地捏我的脸蛋
佢好大只	他的个儿大
佢好好相与，唔会同人顶颈	他脾气很好，不会跟人抬杠
佢好好谂头	他很善于思考
佢好孤寒，你咬唔入佢嘅	他很吝啬，你占不了他的便宜
佢好孤寒，呢啲嘢奉旨唔买	他很吝啬，这些东西准不买
佢好密实㗎，唔会乱讲话嘅	他嘴严着呢，不会乱说的
佢好得意呀	他很可爱啊
佢好得意嘅啫	他是很有趣的
佢好悭，存咗好多钱	他很省俭，存了很多钱
佢好打得	他很能打架
佢好抵得谂㗎	他这人挺不计较的
佢好挂住上海嘅朋友	他很想念上海的朋友
佢好擦得	他挺能吃的
佢好早就过埠咯	他很早就出洋去了
佢好易发脾气㗎，唔好惹佢	他很容易发脾气的，不要逗他
佢好有谂头	他思考力很强
佢好热心嘅，求亲佢都唔会托手踭嘅	他很热心，每次求他他都不会拒绝
佢好烂瘾捉棋	他下棋的瘾头很大
佢好烂食	他很贪吃
佢好犀利，噉都忍到	他很厉害，这样他也能忍
佢好白净	她皮肤很白嫩
佢好相与嘅	他好商量的
佢好眼利，一眼就睇出件衫有几长	他眼力很好，一眼就看出这件衣服有多长
佢好硬颈，人哋讲乜嘢佢都唔肯听	他挺固执的，别人说什么他都不爱听
佢好硬颈，周时同人哋顶颈	他脾气很犟，常常跟别人吵架
佢好粗口	他说话很粗鄙
佢好粗鲁，成个男人婆咁	她十分粗鲁，整一个男人似的
佢好细个就去咗外国，啲中文好水	他从小就到国外去了，中文很差劲
佢好翳㗎喇，你仲谛佢	他已经很苦闷了，你还挖苦他
佢好老实，奉旨唔会呃人	他很诚实，决不骗人
佢好耐唔翻嚟喇㖞	他很久没回来了
佢好认叻	他很好胜逞强
佢好识招呼人客，认真老积	他挺会招待客人，真老成
佢好通气嘅，睇见人哋有困难就嚟帮手	他很体贴人，见人家有困难就来帮忙
佢好腌尖㗎，又拣择	他很挑剔，要求很高
佢好醒水，边个行过佢都知到	他很警觉，谁走过他都知道
佢好醒瞓，喐啲都知	他睡觉很惊醒，有点响动他都知道
佢好锡佢个仔	他很疼他儿子
佢好钟意人哋笠高帽㗎	他很喜欢人家用好话恭维他
佢好钟意打交	他很喜欢打架
佢好钟意睇公仔书	他很喜欢看漫画书
佢好靓仔	他很漂亮
佢好高quali	他的学历很高
佢好高㗎	他很高
佢好高窦嘅，平时都唔睬我哋	他挺傲慢的，平时都不理我们
佢好鲊㗎	他的水平很低
佢妈妈旧年入咗安老院	她妈妈去年进了老人院
佢嫌费事所以冇去睇医生	他嫌麻烦，所以没有上医院看病
佢嬲到出面	他气得脸色都变了
佢嬲到吹须睩眼	他气得吹胡子瞪眼
佢守龙门好叻㗎	他守球门很出色
佢害咁多人，应该拉去打靶	他害了这么多人，应该抓去枪毙
佢家庭比较困难，要做啲散工嚟帮补下	他家里比较困难，要干点零工来补贴一下
佢实牙实齿话我知，今晚一定出席会议	他很肯定地告诉我，今晚一定出席会议
佢实用拧头嘅	他肯定不同意的
佢写专栏都系交行货啫，冇乜好睇	他写的专栏文章都只是一般的水平，没什么可读的
佢将成副身家都投资到呢间工厂，真系搏到尽	他把所有财产都投资到这家工厂，真是拼搏到底了
佢将本书画到花哩碌	他把书画得乱七八糟的
佢专同我拗颈	他专门跟我抬杠
佢专戥嚟探你㗎	他特地来看你
佢专门同人哋执臊虾仔	她专门帮别人接生
佢对你系好纯情㗎	她对你是很忠贞的
佢对孖仔好得意	他那对孪生儿子挺可爱的
佢就系你哋亚头？	他就是你们的头儿？
佢就嚟四十岁咯	他快四十岁了
佢就嚟顶唔顺喇	他快要支持不住了
佢就宜得你快啲扯	他就巴不得你快点走
佢就巴闭啰，秘书都两三个	他的排场可大了，秘书都两三个
佢就成日闹人，好多同事都顶佢唔顺	他就整天骂人，很多同事都受不了他
佢居然肯落面嚟见我	他居然愿意放下架子来见我
佢屈埋喺个角落头度	他蜷缩在角落里
佢屋企嘅厕纸、文具全部系公司挞翻嚟嘅	他家里的卫生纸、文具，全从公司弄回来的
佢屋企嚟咗三个人客	他家来了三位客人
佢屋企装修得几靓㗎	他家装修得挺漂亮的
佢左挠，唔做得呢啲嘢	他左撇捩，干不了这些工作
佢差唔多日日都翻屋企食饭，间中一两次会喺外面食	他差不多每天都回家吃饭，偶尔一次半次会在外边吃
佢差啲畀坏人棍咗	他差点给坏人骗了
佢已经好翻晒，但系仲成日认住自己有病	他已经痊愈了，但还常常觉得自己有病
佢帮我搭路转行	他帮我搭关系转业
佢平时唔读书，今次考试睇佢点过骨？	他平日不用功，这次考试看他怎么过关？
佢平时牙尖嘴利，参加辩论比赛揾佢至啱嘞	她平日伶牙俐嘴的，让她参加辩论比赛最合适了
佢几乎激瓜咗佢老窦	他几乎把他父亲气死了
佢几时翻冇谱㗎，十点又唔定，十一点又唔定	他几点钟回来没个准，十点说不准，十一点也说不准
佢几时走咗我唔觉意	他什么时候走我没留意
佢几时都有理	他什么时候都有理
佢影亲相张张都几乎系沙龙	他每次拍摄差不多每张照片都是优秀的摄影作品
佢后尾点呀？	他后来怎么样了？
佢后尾点样啫？	他后来怎样了？
佢得两个仔㗎咋	他只有两个儿子
佢从来都唔会喺人面前认低威	他从来不会在别人面前甘拜下风
佢心口中咗一枪，钉梗啦	他胸口中了一枪，死定了
佢心情唔好就猛咁闹人	他心情不好就起劲地骂人
佢心水好清	他头脑很清醒
佢心水清，呃唔到佢㗎	他心中有数，骗不了他的
佢心水清，谂得周到	他有心思，想得周到
佢恃自己大力	他仗着自己力气大
佢息影二十年都有喇	他停止从影差不多有二十年了
佢恶到鬼噉，成日喊打喊杀	他凶极了，整天嚷着要打要杀的
佢恶死能登噉望住我	他恶狠狠地看着我
佢恶起上嚟个样认真得人怕	他凶起来那个样子着实令人害怕
佢恶起身嚟就唔得掂	他一生起气来就不得了
佢想作病睇嘞	看来他要发病了
佢想喊咯，咪惹佢喇	他都想哭了，不要逗他了
佢想帮人，点知搅到自己一身潺	他想帮人家，谁知倒给自己惹了一身麻烦
佢想揾你倾吓	他想找你谈谈
佢想转工，唔想一世屈喺写字楼	他想换工作，不想一辈子呆在办公室里
佢惹咗一身癞渣	他传染上了一身疥疮
佢惯咗做夜游神晚晚两三点至瞓	他习惯了做夜猫子，每天晚上要两三点才睡
佢惯咗洗脚唔抹脚	他习惯了大手大脚地花钱
佢悭埋咁大笔钱结婚嗰时一次过使晒	他省吃俭用存了这么一大笔钱结婚时一下儿就花光了
佢应承咗去后尾又话唔得闲	他答应了要去后来又说没空
佢成日一泡气噉，唔知做乜？	他整天一肚子气似的，不知道为什么？
佢成日同人顶颈	他整天跟人家拌嘴
佢成日同个细佬闹交	他成天跟弟弟吵架
佢成日喺公司偷鸡做自己嘅嘢	他整天在公司开小差做自己的事
佢成日喺度单单打打，我真系受唔住	他整天说些冷言冷语，我真受不了
佢成日喺度宜咿哦哦，烦到死	他整天在这里啰啰唆唆，真叫人心烦
佢成日喺背后讲人哋乜乜物物，真讨厌	他整天在背后说人家什么什么的，真讨厌！
佢成日心思思想买呢部相机，不过太贵唔舍得	他成天老惦着买这部照相机，不过太贵了又舍不得买
佢成日扮晒cool噉，好少人同佢夹得嚟	他成天装出一副冷酷的样子，跟他处得来的人很少
佢成日挂住买玩具超人	他整天巴望着买玩具超人
佢成日激到亚妈扎扎跳	他成天把妈妈给气得浑身发抖
佢成日为大家走趯	他整天为大家跑腿
佢成日畀差人拉，正一系佗衰家	他成天让警察抓去，真是个专拖累人的灾星
佢成日瘀我	他老是损我
佢成日落酒吧饮酒	他老去酒吧喝酒
佢成日讲嘢都冇句真，我真系好矛盾	他老是说话没有一句是真，我真的很矛盾
佢成日车大炮，大家唔听佢笛	他整天说大话，大家不听他的
佢成日车衡晒，你听佢讲！	他整天尽吹牛，你信他的！
佢成日都问我	他常常问我
佢成日都笑吟吟	他老是笑嘻嘻的
佢成日惊有人害佢，个人都神神地嘅	他老怕有人害他，性情有点儿不正常
佢成日闹人，好多同事就顶佢唔顺	他整天骂人，很多同事都受不了他
佢成晚冇翻屋企，唔知道去边	他一夜没回家，不知去向
佢手瓜硬，你点斗得过佢㖞	他实力雄厚，你怎么能斗得过他
佢手脚慢，做乜都系佢包尾	他手脚笨，干什么总是他压尾
佢打人好狼胎㗎	他打人非常狠
佢打咗个响指	他弹响了指头
佢打尖畀人赶咗出嚟，于是咪发烂渣啰	他加塞儿被人发现，赶了出来，所以就大发脾气
佢打波好狼	他打球很凶狠
佢打起仔上嚟好狼㗎！	他打儿子打得挺狠的！
佢打过十年工	她当过十年佣工
佢扭亲只脚，行路趷吓趷吓	他扭伤了脚，走路一瘸一拐地
佢扭计想买嗰个公仔之嘛	他闹别扭，只不过想买那个洋娃娃罢了
佢扮嘢啫，你估佢好有钱咩？	他是装样子的，你以为他很有钱吗？
佢扮皇帝都几似模似样㖞	他扮演皇帝还挺像模像样的
佢扻亲个头	他的头被碰了一下
佢把口好密实，唔会乱咁同人讲嘅	他能够守口如瓶的，不会跟别人乱讲的
佢把口好犀利	他的嘴巴很厉害
佢把声咁好听	她的声音这么好听
佢把声好熟	他的声音很熟
佢押住支手枪	他掖着一支手枪
佢拎咗三件	他拿了三件
佢拮亲我！	他戳伤了我！
佢挟住个皮包	他夹着一个皮包
佢挨咗一世	他熬了一辈子
佢捻干嚿海绵	他把海绵挤干
佢捻烂咗个气球	他把气球捏破了
佢掂唔掂㗎？	他行不行的呀？
佢排行第屘	他排行最后
佢挂住你，瞓唔着觉	他挂念着你，睡不着觉
佢揸住把刀	他抓着一把刀
佢揸住支笔	他拿着一枝笔
佢搦住个喼周围去	他提着公文箱到处跑
佢搦住条鱼	他提溜着一条鱼
佢捞到霉晒	他混得很落泊
佢撠咗吓，就躀低咗	他绊了一下，就摔倒了
佢击败咗同组嘅对手而入围，有份参加决赛	他击败了同组的对手，可以参加决赛
佢拧转身就走咗	他转身就走了
佢擳得我鬼咁肉酸	他胳肢得我怪痒痒的
佢擸咗大家一眼	他向大家扫了一眼
佢摊咗系张床上面	他躺在床上
佢搅咗好耐至熟行	他搞了好久才熟练
佢揽住块木头喺海度漂咗一日	他抱着一块木头在大海中漂流了一天
佢揽咗几个奖牌	他脖子上挂着几个奖牌
佢改个乜嘢名好呢？	他取个什么名字好呢？
佢改咗好多㗎喇	他改了很多了
佢改咗好多㗎喇	他改了很多了
佢放咗假去曼谷梳芙	他放了假到曼谷享乐去了
佢放监之后表现唔错	他出狱之后表现不错
佢既然拍心口应承，一定搅得掂嘅	他既然拍胸脯答应下来，就一定搞得好
佢日日六点钟起身	他天天6点钟起床
佢日日呢个时候都喺楼下蛇王㗎	他每天这个时候都在楼下偷懒的
佢日日挂住打麻雀，屋企啲嘢，就阔佬懒理	佢每天只顾打麻将，家里的事就甩手不管
佢日日都唉唉声，唔知做咩㗎	他每天都唉声叹气，不知道在干嘛
佢早就拉柴咯	他早就死了
佢早就瓜柴啰	他早就报销了
佢早就走人咯	他早就溜了
佢明唔明你嘅谂法？	他明白你的想法吗？
佢明明企喺我呢便，点知临表决嗰阵突然扭軚	他明明站在我这边的，谁知道到了表决的时候他突然改变立场
佢时不时嚟探我	他偶尔来看我
佢晚晚对住电脑做嘢，做到金睛火眼	他每晚对着计算机工作，忙得不亦乐乎
佢晚晚玩到半夜一两点至翻屋企，真系冇谱！	他每天晚上都玩到凌晨一两点才回家，太不像话！
佢最叻就系托老板	他最能的就是拍老板马屁
佢最屘离开	他最后离开
佢最后赢翻一铺，都算攞翻个彩	他最后赢回一局，总算挣回点面子
佢最兴放电，啲男人都顶佢唔顺	她最喜欢到处抛眉眼，男人们都招架不住
佢最着数嘞	他最有利了
佢最识黐饮黐食揾人着数	他最爱蹭吃蹭喝的占便宜
佢最近个面口好差㖞，系咪有乜嘢病呀？	他最近的气色很不好，是不是有什么病啊？
佢最近捞得好掂	他最近混得挺好
佢最近点解咁耷？	为甚么他最近情绪那么低落？
佢最钟意做两头蛇	他最爱做两面派
佢最钟意睇埋啲埕埕塔塔嘅戏	她最喜欢看那些谈情说爱的电影
佢会嚟都唔定	说不定他会来
佢会好快好翻啩	他会很快好起来吧
佢有三十岁咁滞咯	他差不多有三十岁了
佢有事揾你倾	他有事跟你谈
佢有两个女	他有两个女儿
佢有两个妹	他有两个妹妹
佢有两个细佬哥	他有两个孩子
佢有两度死桥	他有两下绝招
佢有冇料呀？	他有没有本事？
佢有冇畀面色你睇呀？	他有没有给脸色你看？
佢有去香港	他去了香港了
佢有咗㗎喇	她有了喜了
佢有啲戆戆哋	他有点傻头傻脑的
佢有啲湿滞	他有点消化不良
佢有啲发烧，可能琴晚冷亲	他有点儿发烧，可能是昨晚着了凉
佢有啲黐黐哋，唔好理佢	他有点儿冒傻气，别理他
佢有几何考得咁好吖，奖励吓佢啦！	他能有几回考得这么好的？奖励奖励他吧！
佢有时会失惊无神嚟到	他有时会突然到来
佢有铺牛力	他有股牛劲
佢有钱过我	他比我有钱
佢望咗佢爸爸一眼	他看了看他爸爸
佢朝头早做早操	他早上做早操
佢未够三十，仲好后生	他不足三十，还挺年轻
佢梗知	他一定知道
佢横丫肠都几多㗎	他的鬼点子不少
佢次次考试都系包尾	他每次考试都是倒数第一
佢次次输咗都唔忿气嘅	他每次输了都不服气的
佢次次都冇好带挈㗎	他每次都不会有什么好事儿
佢正一系好人	他真正是好人
佢正一冇尾飞砣，出咗去咁耐，都唔知去咗边？	他总是满天飞的，出去这么久，不知道上了哪儿？
佢正一搅屎棍，搞到兄弟姊妹不和	她真是一个专门搬弄是非的人，搞得兄弟姊妹不和
